code,designation,bundesnaturschutzgesetz_30,bundesnaturschutzgesetz_21,biotopverordnung,ffh_lebensraumtypen,biotoptypen_code
K,Küsten- und Meeresbiotope,,,,,
KT,Tiefwasserbereiche von Nord- und Ostsee,,,,,
KTh,Hartsubstratriff im Tiefwasser,6,,5.i,1170,KT
KTa,"Artenreicher Kies, Grobsand bzw. Schill im Tiefwasser",6,,5.k,,KT
KTy,Sonstiges Sediment im Tiefwasser,,,,,KT
KF,Flachwasserbereiche von Nord- und Ostsee,,,,,
KFf,Festgestein im Flachwasser,6,,5.i,1170,KF
KFb,Makrophytenreiches Hartsubstratriff im Flachwasser,6,,5.h/5.i,1170,KF
KFh,Makrophytenarmes Hartsubstratriff im Flachwasser,6,,5.i,1170,KF
KFr,Sabellaria-Riff,6,,5.i,1170,KF
KFw,Seemoos-Wiese,6,,5.i,1160,KF
KFm,Sublitorale Muschelbank mit heimischen Arten,6,,5.i,1170,KF
KFx,Sonstige sublitorale Muschelbank,6,,5.i,1170,KF
KFa,"Artenreicher Kies, Grobsand bzw. Schill im Sublitoral",6,,5.k,1160,KF
KFg,Sublitorale Seegraswiese,6,,5.h,1160,KF
KFv,Sonstiger sublitoraler Makrophytenbestand,6,,5.h,1160,KF
KFy,Sonstiges Flachwasser,,,,1160,KF
KW,Nord- und Ostseewatten,,,,,
KWf,Felswatt,6,,5.g,1170,KWx
KWm,Eulitorale Muschelbank mit heimischen Arten,6,,5.g,1170,KWh
KWx,Sonstige eulitorale Muschelbank,6,,5.g,1170,KWh
KWg,Eulitorale Seegraswiese,6,,5.g,1140,KWh
KWw,"Vegetationsfreies Schlick-, Sand- und Mischwatt",6,,5.g,1140,KWh
KWp,Priel,6,,5.g,1140,KWh
KS,"Strände, Spülsäume und Lagunen",,,,,
KSa,Spülsaum mit einjähriger Vegetation,,,,1210,KSs
KSv,Kiesstrand mit mehrjähriger Vegetation,,,,1220,KSs
KSx,Treibsel-Spülsaum ohne eigenständige Vegetation,,,,,KSs
KSs,Vegetationsfreier Strand,,,,,KSs
KSe,Strandsee/Lagune,6,,5.e,*1150,KSe
KQ,Quellerfluren und Pionierzonen der Salzwiese,,,,,
KQs,Schlick-Queller-Gesellschaft,6,,5.g,1310,KWq
KQr,Vorland-Queller-Gesellschaft,6,,5.g,1310,KWq
KQd,Flugsand-Queller-Gesellschaft,6,,5.g,1310,KWq
KQb,Dornmelden-Flur,6,,5.g,1310,KWq
KQu,Strand-Soden-Gesellschaft,6,,5.g,1310,KWq
KQn,Komplexbiotop aus Pionier- und Salzwiesenvegetation,6,,5.f,1330,KN
KN,Untere Salzwiese,,,,,
KNs,Schlickgras-Bestand,6,,5.g,1320,KWh
KNa,Strand-Aster-Flur,6,,5.f,1330,KN
KNh,Strand-Salzmelden-Flur,6,,5.f,1330,KN
KNv,Andel-Rasen mit Vorlandqueller-Flur,6,,5.f,1330,KN
KNd,Andel-Rasen mit Salzschwaden-Flur,6,,5.f,1330,KN
KNw,Andel-Rasen auf Strandwall,6,,5.f,1330,KN
KNp,Sonstige Andel-Rasen,6,,5.f,1330,KN
KNk,Komplex aus unterer und oberer Salzwiese,6,,5.f,1330,KN
KNx,Salzwiese mit gestörter Vegetation,6,,5.f,1330,KN
KNo,"Salzwiese, vegetationslos",6,,5.f,1330,KN
KNt,Offene Wasserfläche innerhalb der Salzwiese,6,,5.f,1330,KN
KNy,"Untere Salzwiese, unspezifisch",6,,5.f,1330,KN
KO,Obere Salzwiese,,,,,
KOa,Straußgras-Rasen,6,,5.f,1330,KN
KOc,Strand-Seggen-Rasen,6,,5.f,1330,KN
KOd,Strand-Kriech-Quecken-Rasen,6,,5.f,1330,KN
KOq,Strand-Quecken-Rasen,6,,5.f,1330,KN
KOw,Salzwiesen-Rotschwingel-Rasen auf Strandwällen,6,,5.f,1330,KN
KOf,Salzwiesen-Rotschwingel-Rasen,6,,5.f,1330,KN
KOj,Bodden-Binsen-Rasen,6,,5.f,1330,KN
KOl,Strand-Melden-Fluren,6,,5.f,1330,KN
KOm,Strand-Binsen-Ried,6,,5.f,1330,KN
KOo,Hauhechel-Salzrasen,6,,5.f,1330,KN
KOp,Spieß-Melden-Gesellschaft,6,,5.f,1330,KN
KOs,Strand-Mastkraut-Rasen,6,,5.f,1330,KN
KOt,Strand-Beifuß-Flur,6,,5.f,1330,KN
KOh,ruderalisierte Salzwiese mit Ackerkratzdistel,6,,5.f,1330,KN
KOr,ruderalisierte Salzwiese,6,,5.f,1330,KN
KOy,"Obere Salzwiese, unspezifisch",6,,5.f,1330,KN
KB,Brackwasser-Pioniervegetation,,,,,
KBc,Laugenblumen-Flur,6,,5.f,1330,KNr
KBe,Quellried-Flur,6,,5.f,1330,KNr
KBr,Sumpfbinsen-Flur,6,,5.f,1330,KNr
KBp,Kleine Sumpfbinsen-Flur,6,,5.f,1330,KNr
KR,Brackwasser-Röhrichte,,,,,
KRs,Schilf-Brackwasserröhricht,6,,5.f,1330,KNr
KRb,Brackwasser-Simsenried,6,,5.f,1330,KNr
KRg,Brackwasser-Wasserschwaden-Röhricht,6,,5.f,1330,KNr
KRy,Sonstiges Brackwasserröhricht,6,,5.f,1330,KNr
KG,Brackwasserbeeinflusste Grünländer,,,,,
KGf,Brackwasser-Flutrasen,6,,5.f,1330,KN
KGg,Brackwasser-Weidelgras-Weißklee-Weide,6,,5.f,1330,KNg
KGy,Sonstiges brackwasserbeeinflusstes Grünland,6,,5.f,1330,KNg
KP,Pioniervegetation der Küstendünentäler,,,,,
KPc,Küstendünental mit Strand-Tausendgüldenkraut-Rasen,6,,5.c,2190,KDt
KPi,Küstendünental mit Sumpf-Bärlapp-Rasen,6,,5.c,2190,KDt
KPl,Küstendünental mit Strandlings-Rasen,6,,5.c,2190,KDt
KPr,Küstendünental mit Zwergflachs-Rasen,6,,5.c,2190,KDt
KPy,Küstendünental mit sonstiger Pioniervegetation,6,,5.c,2190,KDt
KM,Feuchtvegetation der Küstendünentäler,,,,,
KMy,"Küstendünental, vegetationslos",6,,5.c,2190,KDt
KMf,Küstendünengewässer mit Vegetation,6,,5.c,2190,KDt
KMr,Küstendünen-Schilf-Röhricht,6,,5.c,2190,KDt
KMm,Küstendünental mit Braun-Seggen-Sumpf,6,,5.c,2190,KDt
KMt,Küstendünenfeuchtheide,6,,5.c,2190,KDt
KMh,Küstendünental mit Staudenflur,6,,5.c,2190,KDt
KMw,Küstendünen-Weiden-Gebüsch,6,,5.c,2190,KD
KMb,Küstendünen-Birken-Feuchtwald,6,,5.c,2180,KD
KMe,Küstendünen-Erlen-Feuchtwald,6,,5.c,2180,KD
KD,Gehölzfreie Küstendünen,,,,,
KDx,Küstenschutzdüne,6,,5.c,(2110),KD
KDo,vegetationsfreier Küstendünenbereich,6,,5.c,(21**),KD
KDv,Küsten-Primärdüne,6,,5.c,2110,KD
KDm,Wanderdüne,6,,5.c,2120,KD
KDw,Strandhafer-Weißdüne,6,,5.c,2120,KD
KDl,Strandroggen-Weißdüne,6,,5.c,2120,KD
